,0
LAZR,auto-parts-oem
LEA,auto-parts-oem
MGA,auto-parts-oem
MOD,auto-parts-oem
MTOR,auto-parts-oem
REE,auto-parts-oem
SYPR,auto-parts-oem
TEN,auto-parts-oem
THRM,auto-parts-oem
U  U,textiles
VC,auto-parts-oem
WKHS,auto-parts-oem
DORM,automotive-aftermarket
GT,automotive-aftermarket
LKQ,automotive-aftermarket
XPEL,automotive-aftermarket
ABEV,beverages-alcoholic
BF.A,beverages-alcoholic
BF.B,beverages-alcoholic
BUD,beverages-alcoholic
CCU,beverages-alcoholic
DEO,beverages-alcoholic
NBEV,beverages-alcoholic
SAM,beverages-alcoholic
STZ,beverages-alcoholic
STZ.,beverages-alcoholic
TAP,beverages-alcoholic
TAP.,beverages-alcoholic
VINE,beverages-alcoholic
W  W,wholesale-distributors
AKO.,beverages-non-alcoholic
CCEP,beverages-non-alcoholic
CELH,beverages-non-alcoholic
COKE,beverages-non-alcoholic
FIZZ,beverages-non-alcoholic
FMX,beverages-non-alcoholic
FTFT,beverages-non-alcoholic
KDP,beverages-non-alcoholic
KO,beverages-non-alcoholic
KOF,beverages-non-alcoholic
MNST,beverages-non-alcoholic
PEP,beverages-non-alcoholic
PRMW,beverages-non-alcoholic
REED,beverages-non-alcoholic
WTER,beverages-non-alcoholic
Z  Z,other-metals-minerals
AADI,biotechnology
ABCL,biotechnology
ABCM,biotechnology
ADAP,biotechnology
ADGI,biotechnology
ADMA,biotechnology
ADPT,biotechnology
ADTX,biotechnology
ADVM,biotechnology
AEZS,biotechnology
AGEN,biotechnology
AGLE,biotechnology
AIKI,biotechnology
ALDX,biotechnology
ALEC,biotechnology
ALLO,biotechnology
ALT,biotechnology
AMGN,biotechnology
ANAB,biotechnology
ANIP,biotechnology
ANIX,biotechnology
APDN,biotechnology
APTO,biotechnology
APVO,biotechnology
AQB,biotechnology
ARMP,biotechnology
ARVN,biotechnology
ARWR,biotechnology
ATHA,biotechnology
ATHX,biotechnology
ATRA,biotechnology
AUPH,biotechnology
AURA,biotechnology
AVRO,biotechnology
AVXL,biotechnology
AWH,biotechnology
AXSM,biotechnology
AZYO,biotechnology
BBIO,biotechnology
BCDA,biotechnology
BCEL,biotechnology
BCLI,biotechnology
BCRX,biotechnology
BCTX,biotechnology
BDTX,biotechnology
BEAM,biotechnology
BIIB,biotechnology
BLUE,biotechnology
BMRN,biotechnology
BNGO,biotechnology
BNTX,biotechnology
BON,biotechnology
BPMC,biotechnology
BPTH,biotechnology
BRTX,biotechnology
BTAI,biotechnology
BTTX,biotechnology
CABA,biotechnology
CALA,biotechnology
CANF,biotechnology
CARA,biotechnology
CBAY,biotechnology
CBIO,biotechnology
CDMO,biotechnology
CELZ,biotechnology
CGEN,biotechnology
CHRS,biotechnology
CLSN,biotechnology
CODX,biotechnology
COGT,biotechnology
CRBU,biotechnology
CRDL,biotechnology
CRIS,biotechnology
CRMD,biotechnology
CRSP,biotechnology
CRTX,biotechnology
CSBR,biotechnology
CUE,biotechnology
CVM,biotechnology
CWBR,biotechnology
CYAD,biotechnology
CYTH,biotechnology
CYTO,biotechnology
DCPH,biotechnology
DNLI,biotechnology
DRIO,biotechnology
DRUG,biotechnology
DSGN,biotechnology
DTIL,biotechnology
DVAX,biotechnology
DYAI,biotechnology
EDIT,biotechnology
EFTR,biotechnology
ELEV,biotechnology
ELOX,biotechnology
ELYM,biotechnology
ENOB,biotechnology
ENSC,biotechnology
EQ,biotechnology
EVFM,biotechnology
EXAS,biotechnology
EXEL,biotechnology
FATE,biotechnology
FBRX,biotechnology
F  F,trucks-construction-farm-machinery
FGEN,biotechnology
FHTX,biotechnology
EVC,broadcasting
FOX,broadcasting
FOXA,broadcasting
GTN,broadcasting
GTN.,broadcasting
IHRT,broadcasting
MDIA,broadcasting
NXST,broadcasting
PARA,broadcasting
Q  Q,services-to-the-health-industry
