,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
91,TREC,TRECORA RESOURCES,Carter Nicholas,Director,"Jan 15, 2020",$7.10,5000,35500,408892,"Jun 28, 2022, 04:22 PM",sell
92,RBOT,Vicarious Surgical Inc.,Morris June,"CLO, GC and Secretary","Jun 27, 2022",$3.61,2266,8180,343347,"Jun 28, 2022, 04:18 PM",sell
93,SPXC,SPX CORP,Swann John William III,"Pres., Heating and Location &","Jun 24, 2022",$55.10,12422,684452,83472,"Jun 28, 2022, 04:15 PM",sell
94,CELC,Celcuity Inc.,Buller Richard E,Director,"Jun 24, 2022",$9.47,300,2841,10498,"Jun 28, 2022, 04:13 PM",sell
95,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 29, 2022",$21.18,1213,25692,45890,"Jun 28, 2022, 04:11 PM",sell
96,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 28, 2022",$21.65,10000,216462,51184,"Jun 28, 2022, 04:11 PM",sell
97,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 28, 2022",$21.68,10000,216830,47103,"Jun 28, 2022, 04:11 PM",sell
98,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 27, 2022",$21.34,8000,170738,61184,"Jun 28, 2022, 04:11 PM",sell
99,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 27, 2022",$21.34,8000,170710,57103,"Jun 28, 2022, 04:11 PM",sell
100,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"Apr 26, 2022",$21.65,3700,80093,69184,"Jun 28, 2022, 04:11 PM",sell
101,FET,"FORUM ENERGY TECHNOLOGIES, INC.","SCF Partners, Inc.",Member of Group,"May 02, 2022",$21.07,3000,63217,46971,"Jun 28, 2022, 04:11 PM",sell
