,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
69,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 28, 2022",$0.05,4870,244,1551859,"Jun 29, 2022, 05:57 PM",sell
70,GULTU,Gulf Coast Ultra Deep Royalty Trust,SUBIN NEIL S,10% Owner,"Jun 28, 2022",$0.05,788,39,251173,"Jun 29, 2022, 05:57 PM",sell
71,JAZZ,Jazz Pharmaceuticals plc,Pearce Samantha,"SVP, Head of Europe & Internat","Jun 27, 2022",$155.00,8508,1318740,11309,"Jun 29, 2022, 05:55 PM",sell
72,LBTY,Liberty Global plc,HALL BRYAN H,"EVP, Gen Counsel & Secretary","Jun 27, 2022",$23.32,12000,279845,143984,"Jun 29, 2022, 05:33 PM",sell
73,LBTY,Liberty Global plc,HALL BRYAN H,"EVP, Gen Counsel & Secretary","Jun 28, 2022",$22.67,11000,249349,125157,"Jun 29, 2022, 05:33 PM",sell
74,FDS,FACTSET RESEARCH SYSTEMS INC,Jordan Sheila B,Director,"Jun 28, 2022",$391.15,2572,1006038,177,"Jun 29, 2022, 05:32 PM",sell
75,ATEN,"A10 Networks, Inc.",COCHRAN ROBERT D,EVP Legal & Corp Collaboration,"Jun 27, 2022",$15.00,5000,75000,344161,"Jun 29, 2022, 05:31 PM",sell
76,SEMR,"SEMrush Holdings, Inc.",Fetisov Evgeny,Chief Financial Officer,"Jun 27, 2022",$14.22,2000,28440,142421,"Jun 29, 2022, 05:29 PM",sell
77,SWBI,"SMITH & WESSON BRANDS, INC.",FURMAN JOHN B,Director,"Jun 27, 2022",$15.64,5000,78200,37526,"Jun 29, 2022, 05:25 PM",sell
78,AMWL,American Well Corp,Gay Bradford,"Senior VP, General Counsel","Jun 27, 2022",$4.96,19450,96477,845840,"Jun 29, 2022, 05:22 PM",sell
79,HSY,HERSHEY CO,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,"Jun 28, 2022",$219.89,181687,39951789,1147301,"Jun 29, 2022, 05:22 PM",sell
80,HSY,HERSHEY CO,HERSHEY TRUST CO TRUSTEE IN TRUST FOR MILTON HERSHEY SCHOOL,10% Owner,"Jun 27, 2022",$221.32,218182,48289067,1328988,"Jun 29, 2022, 05:22 PM",sell
81,MLNK,"MeridianLink, Inc.",Arnold Alan R.,Chief Operating Officer,"Jun 29, 2022",$17.05,19506,332521,503441,"Jun 29, 2022, 05:13 PM",sell
82,MLNK,"MeridianLink, Inc.",Arnold Alan R.,Chief Operating Officer,"Jun 28, 2022",$17.40,33435,581899,522947,"Jun 29, 2022, 05:13 PM",sell
83,MLNK,"MeridianLink, Inc.",Arnold Alan R.,Chief Operating Officer,"Jun 27, 2022",$17.84,37040,660771,556382,"Jun 29, 2022, 05:13 PM",sell
84,TRVN,TREVENA INC,Shin Barry,"SVP, CFO","Jun 28, 2022",$0.41,31785,13032,873056,"Jun 29, 2022, 05:12 PM",sell
85,OKTA,"Okta, Inc.",Kerrest Jacques Frederic,See Remarks,"Jun 27, 2022",$99.16,100,9916,16639,"Jun 29, 2022, 05:07 PM",sell
86,OKTA,"Okta, Inc.",Kerrest Jacques Frederic,See Remarks,"Jun 27, 2022",$99.14,200,19828,62,"Jun 29, 2022, 05:07 PM",sell
87,PGNY,"Progyny, Inc.",Schlanger David J,EXECUTIVE CHAIRMAN,"Jun 27, 2022",$31.21,1452,45317,82548,"Jun 29, 2022, 04:50 PM",sell
88,ATRA,"Atara Biotherapeutics, Inc.",Touchon Pascal,President and CEO,"Jun 27, 2022",$7.20,14220,102384,472093,"Jun 29, 2022, 04:48 PM",sell
89,CXW,"CoreCivic, Inc.",Mayberry Lucibeth,"EVP, Real Estate","Jun 28, 2022",$11.37,75000,853088,229799,"Jun 29, 2022, 04:46 PM",sell
90,CHEF,"Chefs' Warehouse, Inc.",Aldous Alexandros,General Counsel,"Jun 27, 2022",$40.00,20000,800000,116367,"Jun 29, 2022, 04:33 PM",sell
91,SCX,STARRETT L S CO,Leme Emerson,Vice President NA Industrial,"Jun 22, 2022",$6.99,1703,11904,42797,"Jun 29, 2022, 04:33 PM",sell
92,SCX,STARRETT L S CO,Leme Emerson,Vice President NA Industrial,"Jun 21, 2022",$6.96,500,3480,44500,"Jun 29, 2022, 04:33 PM",sell
93,SCX,STARRETT L S CO,Leme Emerson,Vice President NA Industrial,"Jun 27, 2022",$7.00,6941,48587,31756,"Jun 29, 2022, 04:33 PM",sell
94,SCX,STARRETT L S CO,Leme Emerson,Vice President NA Industrial,"Jun 17, 2022",$7.20,200,1440,45000,"Jun 29, 2022, 04:33 PM",sell
95,SCX,STARRETT L S CO,Leme Emerson,Vice President NA Industrial,"Jun 26, 2022",$7.06,300,2118,38697,"Jun 29, 2022, 04:33 PM",sell
96,SCX,STARRETT L S CO,Leme Emerson,Vice President NA Industrial,"Jun 24, 2022",$6.93,3800,26334,38997,"Jun 29, 2022, 04:33 PM",sell
97,RCMT,"RCM TECHNOLOGIES, INC.",MILLER KEVIN D,CFO,"Jun 28, 2022",$24.10,3363,81050,580387,"Jun 29, 2022, 04:30 PM",sell
98,RCMT,"RCM TECHNOLOGIES, INC.",MILLER KEVIN D,CFO,"Jun 27, 2022",$24.00,16250,390067,583750,"Jun 29, 2022, 04:30 PM",sell
99,FTCI,"FTC Solar, Inc.",ARC Family Trust,10% Owner,"Jun 28, 2022",$3.74,85000,317900,20101357,"Jun 29, 2022, 04:30 PM",sell
100,FTCI,"FTC Solar, Inc.",ARC Family Trust,10% Owner,"Jun 27, 2022",$4.31,99000,426690,20186357,"Jun 29, 2022, 04:30 PM",sell
1,ABNB,"Airbnb, Inc.",Gebbia Joseph,See Remarks,"Jun 27, 2022",$100.85,438641,44238656,3396242,"Jun 29, 2022, 04:30 PM",sell
2,ABNB,"Airbnb, Inc.",Gebbia Joseph,See Remarks,"Jun 27, 2022",$100.85,15525,1565668,210888,"Jun 29, 2022, 04:30 PM",sell
3,LDI,"loanDepot, Inc.",FLANAGAN PATRICK J,Chief Financial Officer,"Jun 27, 2022",$1.40,79407,111233,861349,"Jun 29, 2022, 04:28 PM",sell
4,LDI,"loanDepot, Inc.",FLANAGAN PATRICK J,Chief Financial Officer,"Jun 27, 2022",$1.40,133416,186902,725565,"Jun 29, 2022, 04:28 PM",sell
5,NBIX,NEUROCRINE BIOSCIENCES INC,Cooke Julie,Chief Human Resources Officer,"Jun 27, 2022",$100.00,754,75400,16918,"Jun 29, 2022, 04:26 PM",sell
6,LDI,"loanDepot, Inc.",Walsh Jeff Alexander,"Sr. EVP, Chief Revenue Officer","Jun 27, 2022",$1.40,200000,280220,6172543,"Jun 29, 2022, 04:26 PM",sell
7,APLS,"Apellis Pharmaceuticals, Inc.",Dunlop A. Sinclair,Director,"Jun 27, 2022",$46.79,1341,62743,1341,"Jun 29, 2022, 04:18 PM",sell
8,BAH,Booz Allen Hamilton Holding Corp,ROZANSKI HORACIO,President and CEO,"Jun 27, 2022",$88.98,40000,3559200,599692,"Jun 29, 2022, 04:08 PM",sell
9,BAH,Booz Allen Hamilton Holding Corp,Dahut Karen M,Executive Vice President,"Jun 27, 2022",$89.06,50068,4459056,144768,"Jun 29, 2022, 04:07 PM",sell
10,XYL,Xylem Inc.,Yarkadas Hayati,Senior Vice President,"Jun 27, 2022",$80.06,5898,472212,9556,"Jun 29, 2022, 04:04 PM",sell
11,DASH,"DoorDash, Inc.",Sherringham Tia,General Counsel and Secretary,"Jun 27, 2022",$74.25,625,46406,167959,"Jun 29, 2022, 04:04 PM",sell
12,DASH,"DoorDash, Inc.",Brown Shona L,Director,"Jun 27, 2022",$71.24,935,66612,91293,"Jun 29, 2022, 04:03 PM",sell
13,TRDA,"Entrada Therapeutics, Inc.",Dowden Nathan J,Chief Operating Officer,"Jun 27, 2022",$13.00,7714,100282,64893,"Jun 29, 2022, 04:02 PM",sell
14,IBKR,"Interactive Brokers Group, Inc.",Peterffy Thomas,Chairman,"Jun 28, 2022",$57.94,20000,1158710,2031411,"Jun 29, 2022, 04:02 PM",sell
15,IBKR,"Interactive Brokers Group, Inc.",Peterffy Thomas,Chairman,"Jun 27, 2022",$58.10,20000,1162000,2047511,"Jun 29, 2022, 04:02 PM",sell
16,TRDA,"Entrada Therapeutics, Inc.",Doshi Dipal,President and CEO,"Jun 27, 2022",$12.00,4000,48000,210710,"Jun 29, 2022, 04:02 PM",sell
17,SEDG,"SOLAREDGE TECHNOLOGIES, INC.",Prishkolnik Rachel,"VP,GC&Corporate Secretary","Jun 27, 2022",$301.58,1900,573002,13619,"Jun 29, 2022, 03:01 PM",sell
18,SEDG,"SOLAREDGE TECHNOLOGIES, INC.",Adest Meir,Chief Product Officer,"Jun 28, 2022",$300.27,96,28826,183661,"Jun 29, 2022, 03:00 PM",sell
19,SEDG,"SOLAREDGE TECHNOLOGIES, INC.",Adest Meir,Chief Product Officer,"Jun 27, 2022",$301.58,2300,693639,185019,"Jun 29, 2022, 03:00 PM",sell
20,NXST,"NEXSTAR MEDIA GROUP, INC.",WEITMAN GARY,See Remarks,"Jun 28, 2022",$168.20,3202,538587,2783,"Jun 29, 2022, 02:06 PM",sell
21,WBBA,"WB Burgers Asia, Inc.","White Knight Co., Ltd.",10% Owner,"Mar 29, 2022",$0.20,869565,173913,537117659,"Jun 29, 2022, 01:42 PM",sell
22,MIXT,MiX Telematics Ltd,Dell Paul M,Chief Accounting Officer,"Jun 28, 2022",$0.35,189,66,99421,"Jun 29, 2022, 12:35 PM",sell
23,MIXT,MiX Telematics Ltd,Dell Paul M,Chief Accounting Officer,"Jun 27, 2022",$0.35,103,36,99610,"Jun 29, 2022, 12:35 PM",sell
24,MIXT,MiX Telematics Ltd,Pretorius Gert,Executive Vice President,"Jun 28, 2022",$0.35,708,248,1448876,"Jun 29, 2022, 12:35 PM",sell
25,MIXT,MiX Telematics Ltd,Lewis Catherine J,Executive Vice President,"Jun 28, 2022",$0.35,319,112,2150952,"Jun 29, 2022, 12:33 PM",sell
26,LLY,ELI LILLY & Co,LILLY ENDOWMENT INC,10% Owner,"Jun 28, 2022",$329.01,900,296109,104161053,"Jun 29, 2022, 11:31 AM",sell
27,LEA,LEAR CORP,SCOTT RAYMOND E,President and CEO,"Jun 27, 2022",$134.92,6143,828814,54097,"Jun 29, 2022, 11:00 AM",sell
28,SMFL,"SMART FOR LIFE, INC.",Altbach Ronald S.,Director,"Jun 09, 2022",$0.44,4505,2000,245495,"Jun 29, 2022, 10:35 AM",sell
29,FBNC,FIRST BANCORP /NC/,Capel Mary Clara,Director,"Jun 27, 2022",$35.50,383,13597,12782,"Jun 29, 2022, 10:30 AM",sell
